Nome,SKU,descrizione,pressione,SDR,categoria,IMMAGINI,SCHEDA DATI,INFO TECNICHE
ADAPTADOR PE/ACERO ROSCADO HEMBRA,216,"Adaptador de transición PE/acero galvanizado con roscado GAS hembra. Realizado por medio de moldeo por inyección, se emplea para la conexión de varios materiales (de los cuales uno debe ser polietileno) en instalaciones de tuberías para el transporte de agua de conducción.",PN 16 bar,SDR 11,icoaq|icoi|icoae,https://www.macplastsrl.it/2493-thickbox_default/adaptador-pe-acero-roscado-hembra.jpg|https://www.macplastsrl.it/2494-thickbox_default/adaptador-pe-acero-roscado-hembra.jpg|https://www.macplastsrl.it/2495-thickbox_default/adaptador-pe-acero-roscado-hembra.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico en acero S355J2H (FE510) según UNI EN 10297 con revestimento protectivo tipo galvanizado electrolítico blanco 7µm.   </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN 12201-3 D.M.174 (KIWA KIP-095789)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1  (DW-7521CR0172)</li>
<li>DVGW GW335-B4 (DW-7511CR0155)</li>
<li>PZH POLAND HK/W/0553/01/2012</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado hembra cilíndrica según UNI EN 10226-1 (exISO7/1). </li><li>Trabajo para apretamiento con llave de maniobra. </li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
RECEPTÁCULO PE/LATÓN ROSCADO MACHO,009,"Adaptador de transición PE/latón con roscado GAS macho (cónico). Ensamblado pormedio de la unión de componentes desarmables, se emplea para la conexión devarios materiales (de los cuales uno debe ser polietileno) en instalaciones de lubricación para el transporte de agua potable.",PN 16 bar,SDR 11,icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2238-thickbox_default/receptculo-pe-latn-roscado-macho.jpg|https://www.macplastsrl.it/2239-thickbox_default/receptculo-pe-latn-roscado-macho.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico de latón CW612N según UNI EN 12168.     </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>Guarnición en NBR conforme con DIN 28091 y BS 7531, certificada gas DIN 3535 y agua potable según W270 / DM174. </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>ACS C.M. 25.11.02 DGS/SD7A n.571</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST. </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11.   </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado hembra cilíndrica según UNI EN 10226-1 (exISO7/1). </li><li>Trabajo para apretamiento con llave de maniobra. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>A pedido latón ADZ-USA CW511L  </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
RECEPTÁCULO PE/LATÓN ROSCADO HEMBRA,010,"Adaptador de transición PE/latón con roscado GAS hembra). Ensamblado por medio dela unión de componentes desarmables, seemplea para la conexión de varios materiales (de los cuales uno debe ser polietileno) en instalaciones de lubricación para el transporte de agua potable.",PN 16 bar,SDR 11,icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2240-thickbox_default/receptculo-pe-latn-roscado-hembra.jpg|https://www.macplastsrl.it/2241-thickbox_default/receptculo-pe-latn-roscado-hembra.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico de latón CW612N según UNI EN 12168.     </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>Guarnición en NBR conforme con DIN 28091 y BS 7531, certificada gas DIN 3535 y agua potable según W270 / DM174. </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>ACS C.M. 25.11.02 DGS/SD7A n.571</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST. </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11.   </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado hembra cilíndrica según UNI EN 10226-1 (exISO7/1). </li><li>Trabajo para apretamiento con llave de maniobra. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>A pedido latón ADZ-USA CW511L  </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
ADAPTADOR PE/LATÓN TUERCA GIRATORIA ROSCADO,101,"Adaptador de transición PE/latón con tuerca giratoria con roscado hembra. Realizado por medio de moldeo por inyección, se emplea para la conexión de varios materiales (de los cuales uno debe ser polietileno) en instalaciones de tuberías para el transporte de agua potable.",PN 16 bar,SDR 11,icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2289-thickbox_default/adaptador-pe-latn-tuerca-giratoria-roscado.jpg|https://www.macplastsrl.it/2290-thickbox_default/adaptador-pe-latn-tuerca-giratoria-roscado.jpg|https://www.macplastsrl.it/2291-thickbox_default/adaptador-pe-latn-tuerca-giratoria-roscado.jpg|https://www.macplastsrl.it/2292-thickbox_default/adaptador-pe-latn-tuerca-giratoria-roscado.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico de latón CW612N según UNI EN 12168.     </li><li>Pernos de apretamiento en acero galvanizado: tornillo M10 (D21-D64) M12 (D65-D229) según UNI EN ISO 898-1 con cuadro bajo la cabeza ref. DIN/ISO 603, tuerca embridada DIN 6923. revestimiento protectivo galvanizado electrolítico blanco. </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>ACS C.M. 25.11.02 DGS/SD7A n.571</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado hembra, según UNI ISO 228-1.  </li><li>Trabajo para apretamiento con llave de maniobra. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>A pedido latón ADZ-USA CW511L  </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 228-1</li>
</ul></div>"
PE/ACERO RECTO CON TERMINAL EMBRIDADO,086,"Racor de transición PE/acero con terminalembridado conforme con EN 1092-1. Realizado por medio de moldeo por inyección, se emplea para la conexión de varios materiales (de los cuales uno debe ser polietileno) en instalaciones de tuberías para el transporte de agua de conducción.",PN 16 bar,SDR 11,icoaq,https://www.macplastsrl.it/2273-thickbox_default/pe-acero-recto-con-terminal-embridado.jpg|https://www.macplastsrl.it/2274-thickbox_default/pe-acero-recto-con-terminal-embridado.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Tronco de acero al carbono según ISO 3183/API 5L con protección de la corrosiónpor medio de galvanización electrolítica blanca interna y externa.   </li><li>Codo en polietileno alta densidad PE100.      </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li><li>Anillo externo de estanqueidad en aceroS355J2H barnizado por polvo (esp. 200µm). </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la UNI 9736, de paso total.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Dimensional metal según ISO 3183.  </li><li> terminal  embridado según EN 1092-1.  </li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>Racores moldeados hasta DE225 x 8"", i diámetros más grandes realizados por ensamblaje mecánico con anillo externo de es</li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
<li>EN 1092-1 / ISO 7005</li>
</ul></div>"
RACORE PASATABIQUES,141,"Racor pasa pared PE/latón. Realizado por medio de modeo por inyección, se emplea para la conexión de tuberías en PE de depósitos o cisternas en fibra de vidrio uotro material no soldable. Las bridas con con o-ring de estanqueidad garantizan la toma a la pared del depósito. Puede emplearse en instalaciones de tuberías para el transporte de agua potable.",PN 10 bar,SDR 17,icoaq|icoap,https://www.macplastsrl.it/2406-thickbox_default/racore-pasatabiques.jpg|https://www.macplastsrl.it/2407-thickbox_default/racore-pasatabiques.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico de latón CW617N según UNI EN 12165.     </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A compatible con agua potable.  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 12201-3, espesor estándar SDR17. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Trabajo por apretamiento con llave de compás de rebordes redondos. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>O-ring de estanqueidad en dotación.  </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
</ul></div>"
PE/ACERO RECTO  CON TERMINAL VICTAULIC,155,"Adaptador de transición PE/acero con terminal VICTAULIC. Realizado por medio demodeo por inyección, se emplea para la conexión de varios materiales (de los cuales uno debe ser polietileno) en tuberías para el transporte de agua de conducto y agua potable.",PN 16 bar,SDR 11,icoaq|icoi|icoae,https://www.macplastsrl.it/2440-thickbox_default/pe-acero-recto-con-terminal-victaulic.jpg|https://www.macplastsrl.it/2441-thickbox_default/pe-acero-recto-con-terminal-victaulic.jpg|https://www.macplastsrl.it/2442-thickbox_default/pe-acero-recto-con-terminal-victaulic.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Tronco de acero al carbono según ASTM A106 galvanizado interna y externamente según UNI EN 10240-A1 (conforme con el DM174 y compatible con agua potable) y forrado externamente triple extracto en LDPE amarillo clase R3R según UNI 9099. </li><li>Codo en polietileno alta densidad PE100.      </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>WATERMARK AS/NZS 4129 (WM 74644)</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la UNI 9736, de paso total y aislada de infiltraciones externas. </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Hace de junta dieléctrica según la UNI 7129 puesto que está forrado con triple capa.</li><li>Dimensional metal según ASTM A106.  </li><li>Terminal VICTAULIC según STANDARD GROOVE SPECIFICATIONS 25.01. </li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
</ul></div>"
ADAPTADOR PE/INOX NPT ROSCADO NPT MACHO,153,"Adaptador de transición PE/INOX con roscado NPT macho (cónico). Realizado por medio de moldeo por inyección, se emplea para la conexión de varios materiales (de los cuales uno debe ser polietileno) en instalaciones de tuberías para el transportede agua potable.",PN 16 bar,SDR 11,icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2434-thickbox_default/adaptador-pe-inox-npt-roscado-npt-macho.jpg|https://www.macplastsrl.it/2435-thickbox_default/adaptador-pe-inox-npt-roscado-npt-macho.jpg|https://www.macplastsrl.it/2436-thickbox_default/adaptador-pe-inox-npt-roscado-npt-macho.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico en INOX AISI 316.      </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN 12201-3 D.M.174 (KIWA KIP-095789)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1  (DW-7521CR0172)</li>
<li>DVGW GW335-B4 (DW-7511CR0155)</li>
<li>WATERMARK AS/NZS 4129 (WM 74644)</li>
<li>PZH POLAND HK/W/0553/01/2012</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado macho cónico, según ANSI/ASME B1.20.1. </li><li>Trabajo para apretamiento con llave de maniobra. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>A pedido inox AISI 316L, AISI 304, AISI303. </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>ANSI/ASME B1.20.1</li>
</ul></div>"
ADAPTADOR PE/INOX ROSCADO NPT HEMBRA,154,"Adaptador de transición PE/INOX con roscado NPT hembra) (cónica). Realizado por medio de moldeo por inyección, se emplea para la conexión de varios materiales (de los cuales uno debe ser polietileno) en instalaciones de tuberías para el transporte de agua potable.",PN 16 bar,SDR 11,icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2437-thickbox_default/adaptador-pe-inox-roscado-npt-hembra.jpg|https://www.macplastsrl.it/2438-thickbox_default/adaptador-pe-inox-roscado-npt-hembra.jpg|https://www.macplastsrl.it/2439-thickbox_default/adaptador-pe-inox-roscado-npt-hembra.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico en INOX AISI 316.      </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN 12201-3 D.M.174 (KIWA KIP-095789)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1  (DW-7521CR0172)</li>
<li>DVGW GW335-B4 (DW-7511CR0155)</li>
<li>WATERMARK AS/NZS 4129 (WM 74644)</li>
<li>PZH POLAND HK/W/0553/01/2012</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado hembra cónico, según ANSI/ASME B1.20.1. </li><li>Trabajo para apretamiento con llave de maniobra. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>A pedido inox AISI 316L, AISI 304, AISI303. </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>ANSI/ASME B1.20.1</li>
</ul></div>"
,149,,,,icoaq|icoi|icoae,,,
ADAPTADOR PE  ROSCADO MACHO,217,"Adaptador PE roscado GAS macho (cónico). Realizado enteramente por medio de moldeopor inyección, se emplea como unión en instalaciones de tuberías para el transporte de agua potable.",PN 10 bar,SDR 11,icoaq|icoap|icoi,https://www.macplastsrl.it/2496-thickbox_default/adaptador-pe-roscado-macho.jpg|https://www.macplastsrl.it/2497-thickbox_default/adaptador-pe-roscado-macho.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Polietileno de alta densidad PE100.      </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>WATERMARK AS/NZS 4129 (WM 74644)</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Certificado W270 para el uso en instalaciones par agua potable.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado macho cónico, según UNI EN 10226-1 (exISO7/1). </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
</ul></div>"
ADAPTADOR PE ROSCADO HEMBRA,218,"Adaptador PE roscado GAS hembra). Realizado enteramente por medio de moldeo por inyección con casquillo de refuerzo deacero inox en rosca, se emplea como unión en instalaciones para el transporte de agua potable.",PN 10 bar,SDR 11,icoaq|icoap|icoi,https://www.macplastsrl.it/2498-thickbox_default/adaptador-pe-roscado-hembra.jpg|https://www.macplastsrl.it/2499-thickbox_default/adaptador-pe-roscado-hembra.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Polietileno de alta densidad PE100.      </li><li>Anillo de refuerzo en acero inox AISI 304.     </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>WATERMARK AS/NZS 4129 (WM 74644)</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Certificado W270 para el uso en instalaciones par agua potable.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado macho cónico, según UNI EN 10226-1 (exISO7/1). </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
</ul></div>"
KIT COLLAR/BRIDA,170,"Kit compuesto de collar en PE y respectivabrida en PP con perforación de conexión conforme con EN 1092-1. Realizado por medio de moldeo por inyección y por el d140, dispone de una brida de refuerzo suplementaria. El fresado de puntos en la bridatiene un efecto autocentrante y antiaflojamiento. Puede emplearse en instalaciones para el transporte de agua de conducto.",PN 16 bar,,icoaq|icoi,https://www.macplastsrl.it/2455-thickbox_default/kit-collar-brida.jpg|https://www.macplastsrl.it/2456-thickbox_default/kit-collar-brida.jpg|https://www.macplastsrl.it/2457-thickbox_default/kit-collar-brida.jpg|https://www.macplastsrl.it/2458-thickbox_default/kit-collar-brida.jpg|https://www.macplastsrl.it/2459-thickbox_default/kit-collar-brida.jpg|https://www.macplastsrl.it/2460-thickbox_default/kit-collar-brida.jpg|https://www.macplastsrl.it/2461-thickbox_default/kit-collar-brida.jpg|https://www.macplastsrl.it/2462-thickbox_default/kit-collar-brida.jpg|https://www.macplastsrl.it/2463-thickbox_default/kit-collar-brida.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Carpeta de polietileno de alta densidadPE100.     </li><li>Brida &lt;= DE 125 en polipropileno cargadoen vidrio 30% (PP-GF30).     </li><li>Brida &gt; DE125 en acero S235JRG2 revestido PP con anillo autocentrante en PP-GF30. </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Geometría de sección a forma de ""L"" con efecto de contención-antiaflojamientoy autocentrante. </li><li>Peso notablemente reducido (tipo A) respecto a las bridas de acero normales.   </li><li>Facilidad de manejo y practicidad de instalación. </li><li>Unión preservada de la corrosión.  </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>Tipo A :  DE &lt;= 125, brida única.  </li><li>Tipo B : DE &gt;125 mm, brida de acero + anello autocentrante en PP. </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN ISO 15494</li>
<li>EN 1092-1 / ISO 7005</li>
</ul></div>"
BRIDA CIEGA REVESTIDA RILSAN,178,"Brida ciega de fin de línea forrada en RILSAN. Gracias al tipo del revestimiento,es sumamente resistente a la corrosión, a los hidrocarburos, a los solventes y a ungran número de productos químicos. Idónea para el uso en instalaciones de agua potable.",PN 16 bar,,icoaq|icoap|icoi,https://www.macplastsrl.it/2474-thickbox_default/brida-ciega-revestida-rilsan.jpg|https://www.macplastsrl.it/2475-thickbox_default/brida-ciega-revestida-rilsan.jpg|https://www.macplastsrl.it/2476-thickbox_default/brida-ciega-revestida-rilsan.jpg|https://www.macplastsrl.it/2477-thickbox_default/brida-ciega-revestida-rilsan.jpg|https://www.macplastsrl.it/2478-thickbox_default/brida-ciega-revestida-rilsan.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo en acero S235JRG2      </li><li>Revestimiento en RILSAN®      </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>El revestimiento en RILSAN da una buenaprotección contra la corrección, olas sales, los di y lo ácidos. </li><li>Realizada en conformidad con la norma EN1092-1/05A.   </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>EN 1092-1 / ISO 7005</li>
</ul></div>"
TORNILLERÍA PARA BRIDAS,179,kit de tornillería para bridas rvestida enGeomet 500. El tipo de revestimiento garantiza una resistencia a la corrosión muy elevada respecto al galvanizado electrolítico además de disminuir notablemente el coeficiente de rozamiento.El uso de barras en lugar de tornillos facilita la instalación incluso en espacios restringidos. En el interior del kit hay también arandelas onduladas de efecto antiaflojamiento.,,,icog|icoaq|icoi,https://www.macplastsrl.it/2479-thickbox_default/tornillera-para-bridas.jpg|https://www.macplastsrl.it/2480-thickbox_default/tornillera-para-bridas.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Barra roscada DIN 976 cl.8.8 revestida GEOMET 500A     </li><li>Tuerca DIN 934 cl.8 revestida GEOMET 500A     </li><li>Arandela DIN 125A revestida GEOMET 500A   </li><li>Aranddela ondulada DIN 137A forrada GEOMET 500A  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Mayor practicidad de instalación respecto a los pernos normales.  </li><li>Arandelas elásticas onduladas de efectomuelle a prueba de aflojamiento.   </li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>El revestimiento anticorrosión GEOMET 500A da a la tornillería un bajo coeficiente de rozamiento 0,15 para un mejor aprete de rozamiento 0,15 para un mejor apre  </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
</ul></div>"
